ID,customer_ID,orderDate,createdAt,createdBy,modifiedAt,modifiedBy
90820917-b0e3-43ef-a95a-496af9cb87ce,99648153-f79e-4ae9-8883-bbeb17ad40b8,2023-07-07,2015-03-04T17:00:00.000Z,createdBy.5ensb@example.org,2022-02-06T17:00:00.000Z,modifiedBy.5ensb@example.net
90820926-7df2-4412-b4e8-eb6d58a43844,29924100-c721-43ad-9d62-35ea80851ba6,2008-01-11,2001-04-12T17:00:00.000Z,createdBy.5ensc@example.com,2000-08-05T17:00:00.000Z,modifiedBy.5ensc@example.org
90820932-8c3d-4775-a3a2-6712394bfef1,29924105-5787-4dd7-a213-58178238fe79,2014-04-07,2006-04-15T17:00:00.000Z,createdBy.5ensd@example.com,2014-05-23T17:00:00.000Z,modifiedBy.5ensd@example.com
90820947-a8d1-474b-9231-50eff7c85e2c,29924106-b1cd-4c41-a527-cce990ce7cd0,2008-01-10,2003-04-02T17:00:00.000Z,createdBy.5ense@example.net,2002-09-08T17:00:00.000Z,modifiedBy.5ense@example.org
9082095a-c974-4342-b25b-1275514bcabc,29924108-e08f-4903-b9fe-759cf91661d1,2001-06-20,2017-04-05T17:00:00.000Z,createdBy.5ensf@example.com,2023-12-25T17:00:00.000Z,modifiedBy.5ensf@example.com
90820961-89bd-469e-a81c-2215cc0b9c22,29924101-d42e-4315-accb-51950306d00c,2003-07-12,2020-10-14T17:00:00.000Z,createdBy.5ensg@example.net,2017-09-26T17:00:00.000Z,modifiedBy.5ensg@example.org
90820971-0b43-4c8b-aa36-13c3ef52e65f,29924103-50f4-4d58-9704-60b70f020909,2000-03-18,2004-10-29T17:00:00.000Z,createdBy.5ensh@example.net,2010-11-18T17:00:00.000Z,modifiedBy.5ensh@example.com
90820987-27cc-4170-873a-eea6c1785d08,99648153-f79e-4ae9-8883-bbeb17ad40b8,2018-04-12,2004-01-13T17:00:00.000Z,createdBy.5ensi@example.com,2016-10-05T17:00:00.000Z,modifiedBy.5ensi@example.com
9082099a-3eb7-44a1-bbe9-370e794d1cfd,29924104-372d-4baf-811d-0d0d29b74d9b,2007-03-03,2007-07-15T17:00:00.000Z,createdBy.5ensj@example.net,2000-12-20T17:00:00.000Z,modifiedBy.5ensj@example.net
9082100e-09b3-4426-8d73-3ea8fb067c0e,29924107-f3c4-4f11-8fea-727109edbe8f,2000-04-01,2013-05-15T17:00:00.000Z,createdBy.5ensk@example.org,2022-03-01T17:00:00.000Z,modifiedBy.5ensk@example.org
90821018-8e42-4c6b-8c78-03c1e1896494,99648153-f79e-4ae9-8883-bbeb17ad40b8,2022-06-12,2019-02-15T17:00:00.000Z,createdBy.5ensl@example.com,2006-10-27T17:00:00.000Z,modifiedBy.5ensl@example.net
90821028-62b7-42cd-ae4d-877f833568da,29924111-eaca-41a0-9a5a-28ad73757f23,2023-02-27,2013-07-26T17:00:00.000Z,createdBy.5ensm@example.com,2009-10-24T17:00:00.000Z,modifiedBy.5ensm@example.org
9082103c-9ebd-4311-8f13-5934c3234657,99648153-f79e-4ae9-8883-bbeb17ad40b8,2019-04-19,2016-04-28T17:00:00.000Z,createdBy.5ensn@example.org,2018-12-17T17:00:00.000Z,modifiedBy.5ensn@example.com
90821040-287f-4200-b8f5-9e31e89beda5,99648153-f79e-4ae9-8883-bbeb17ad40b8,2012-08-01,2020-04-04T17:00:00.000Z,createdBy.5enso@example.net,2022-03-19T17:00:00.000Z,modifiedBy.5enso@example.com
9082105a-448e-48c5-8bc8-4c8dbb324109,29924112-6614-4866-9e54-e8c1b80984cf,2010-05-12,2017-02-19T17:00:00.000Z,createdBy.5ensp@example.com,2013-07-16T17:00:00.000Z,modifiedBy.5ensp@example.net
9082106d-ab68-47b5-bc7a-2588a9fc9b85,99648153-f79e-4ae9-8883-bbeb17ad40b8,2022-12-01,2000-11-01T17:00:00.000Z,createdBy.5ensq@example.net,2014-08-12T17:00:00.000Z,modifiedBy.5ensq@example.org
90821079-8c22-4040-a4a1-cdbf951f6644,29924114-59fa-4304-a312-7dc385f52cff,2005-02-23,2007-02-28T17:00:00.000Z,createdBy.5ensr@example.net,2000-09-01T17:00:00.000Z,modifiedBy.5ensr@example.org
90821088-aeaa-494d-b469-e7e13fe0be7d,99648153-f79e-4ae9-8883-bbeb17ad40b8,2009-10-19,2001-07-02T17:00:00.000Z,createdBy.5enss@example.com,2013-12-26T17:00:00.000Z,modifiedBy.5enss@example.org
90821092-fea0-47b1-ac0f-1c293f6c7850,29924116-e5f2-469e-8439-eb7d11f2d84f,2021-04-14,2014-10-14T17:00:00.000Z,createdBy.5enst@example.org,2022-11-24T17:00:00.000Z,modifiedBy.5enst@example.com
90821106-76a1-40f6-98b6-0e223e7e3b1f,29924117-9587-41df-8997-e511c283945a,2010-03-23,2020-05-06T17:00:00.000Z,createdBy.5ensu@example.com,2003-06-17T17:00:00.000Z,modifiedBy.5ensu@example.org
